Food_code,Main_food_description,FII,FII score,,
11000000,"Milk, human",-0.04799631,4.39684566,,
11100000,"Milk, NFS",-0.07199897,4.87925774,,
11111000,"Milk, whole",-0.07751487,4.99011784,,
11111100,"Milk, low sodium, whole",-0.04181004,4.27251223,,
11111150,"Milk, calcium fortified, whole",-0.07751487,4.99011784,,
11111160,"Milk, calcium fortified, low fat (1%)",-0.07623843,4.96446363,,
11111170,"Milk, calcium fortified, fat free (skim)",-0.12751743,5.99508339,,
11112110,"Milk, reduced fat (2%)",-0.06201363,4.67856962,,
11112120,"Milk, acidophilus, low fat (1%)",-0.07623843,4.96446363,,
11112130,"Milk, acidophilus, reduced fat (2%)",-0.06201363,4.67856962,,
11112210,"Milk, low fat (1%)",-0.07623843,4.96446363,,
11113000,"Milk, fat free (skim)",-0.09015717,5.24420637,,
11114300,"Milk, lactose free, low fat (1%)",-0.07623843,4.96446363,,
11114320,"Milk, lactose free, fat free (skim)",-0.09015717,5.24420637,,
11114330,"Milk, lactose free, reduced fat (2%)",-0.06201363,4.67856962,,
11114350,"Milk, lactose free, whole",-0.07751487,4.99011784,,
11115000,"Buttermilk, fat free (skim)",-0.038196,4.19987634,,
11115100,"Buttermilk, low fat (1%)",-0.038196,4.19987634,,
11115200,"Buttermilk, reduced fat (2%)",-0.02690611,3.97296879,,
11115300,"Buttermilk, whole",-0.07720951,4.98398067,,
11115400,"Kefir, NS as to fat content",-0.14360704,6.3184569,,
11116000,"Goat's milk, whole",-0.07198825,4.87904235,,
11120000,"Milk, dry, reconstituted, NS as to fat content",-0.0880292,5.20143783,,
11121100,"Milk, dry, reconstituted, whole",-0.05640149,4.56577532,,
11121210,"Milk, dry, reconstituted, low fat (1%)",-0.08351173,5.11064453,,
11121300,"Milk, dry, reconstituted, fat free (skim)",-0.0880292,5.20143783,,
11210050,"Milk, evaporated, NS as to fat content",-0.08872381,5.21539824,,
11211050,"Milk, evaporated, whole",-0.08872381,5.21539824,,
11211400,"Milk, evaporated, reduced fat (2%)",-0.17786427,7.00696834,,
11212050,"Milk, evaporated, fat free (skim)",-0.18670924,7.18473691,,
11220000,"Milk, condensed, sweetened",-0.03305526,4.09655627,,
11300100,"Non-dairy milk, NFS",-1.30458046,29.6520258,,
11320000,Soy milk,-3.94385305,82.6968653,,
11320100,"Soy milk, light",-3.17307782,67.205609,,
11320200,"Soy milk, nonfat",-3.19359449,67.6179588,,
11321000,"Soy milk, chocolate",-4.02074681,84.2422977,,
11321100,"Soy milk, light, chocolate",-3.21206212,67.9891263,,
11321200,"Soy milk, nonfat, chocolate",-3.21206212,67.9891263,,
11340000,"Imitation milk, non-soy, sweetened",-0.1012903,5.46796315,,
11350000,"Almond milk, sweetened",-0.20136346,7.4792616,,
11350010,"Almond milk, sweetened, chocolate",-0.20855064,7.62371154,,
11350020,"Almond milk, unsweetened",-0.17548223,6.95909342,,
11350030,"Almond milk, unsweetened, chocolate",-0.23608414,8.17708757,,
11360000,Rice milk,-0.07480216,4.9355972,,
11370000,Coconut milk,0.047206738,2.48342812,,
11400000,"Yogurt, NFS",-0.07541505,4.94791521,,
11400010,"Yogurt, Greek, NS as to type of milk or flavor",-0.08221971,5.08467701,,
11410000,"Yogurt, NS as to type of milk or flavor",-0.07541505,4.94791521,,
11411010,"Yogurt, NS as to type of milk, plain",-0.07541505,4.94791521,,
